REGION	Region	LOCATION	Country	INCOME	Income	VAR	Variable	TIME	Year	Value	Flag Codes	Flags
ASI	Asia	LBN	Lebanon	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	26.6		
ASI	Asia	LBN	Lebanon	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	45.1		
ASI	Asia	LBN	Lebanon	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	62.1		
ALL	All regions	LBN	Lebanon	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	56.2		
ALL	All regions	LBN	Lebanon	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	82.5		
ALL	All regions	LBN	Lebanon	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	26.6		
ALL	All regions	LBN	Lebanon	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	45.1		
ALL	All regions	LBN	Lebanon	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	62.1		
AFR	Africa	LBY	Libya	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	40.8		
ALL	All regions	LBY	Libya	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	40.8		
EUR	Europe	MKD	North Macedonia	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	18		
EUR	Europe	MKD	North Macedonia	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	27.7		
EUR	Europe	MKD	North Macedonia	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	15.1		
EUR	Europe	MKD	North Macedonia	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	13.4		
EUR	Europe	MKD	North Macedonia	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	15.2		
ALL	All regions	MKD	North Macedonia	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	18		
ALL	All regions	MKD	North Macedonia	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	27.7		
ALL	All regions	MKD	North Macedonia	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	15.1		
ALL	All regions	MKD	North Macedonia	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	13.4		
ALL	All regions	MKD	North Macedonia	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	15.2		
ASI	Asia	MYS	Malaysia	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	80.8		
ALL	All regions	MYS	Malaysia	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	80.8		
ASI	Asia	MDV	Maldives	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	80		
ASI	Asia	MDV	Maldives	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	29		
ALL	All regions	MDV	Maldives	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	80		
ALL	All regions	MDV	Maldives	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	29		
AFR	Africa	MUS	Mauritius	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	52.7		
AFR	Africa	MUS	Mauritius	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	19.2		
AFR	Africa	MUS	Mauritius	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	40.7		
ALL	All regions	MUS	Mauritius	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	52.7		
ALL	All regions	MUS	Mauritius	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	19.2		
ALL	All regions	MUS	Mauritius	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	40.7		
AFR	Africa	NAM	Namibia	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	27.1		
AFR	Africa	NAM	Namibia	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	33.1		
AFR	Africa	NAM	Namibia	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	12.6		
AFR	Africa	NAM	Namibia	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	26.2		
AFR	Africa	NAM	Namibia	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	35.1		
ALL	All regions	NAM	Namibia	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	27.1		
ALL	All regions	NAM	Namibia	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	33.1		
ALL	All regions	NAM	Namibia	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	12.6		
ALL	All regions	NAM	Namibia	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	26.2		
ALL	All regions	NAM	Namibia	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	35.1		
AME	Americas	PRY	Paraguay	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	32.8		
AME	Americas	PRY	Paraguay	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	46.1		
AME	Americas	PRY	Paraguay	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	22.1		
AME	Americas	PRY	Paraguay	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	31.7		
AME	Americas	PRY	Paraguay	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	29.8		
ALL	All regions	PRY	Paraguay	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	32.8		
ALL	All regions	PRY	Paraguay	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	46.1		
ALL	All regions	PRY	Paraguay	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	22.1		
ALL	All regions	PRY	Paraguay	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	31.7		
ALL	All regions	PRY	Paraguay	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	29.8		
AME	Americas	PER	Peru	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	24.5		
AME	Americas	PER	Peru	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	47.7		
AME	Americas	PER	Peru	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	26.6		
AME	Americas	PER	Peru	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	5.5		
AME	Americas	PER	Peru	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	12.9		
ALL	All regions	PER	Peru	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	24.5		
ALL	All regions	PER	Peru	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	47.7		
ALL	All regions	PER	Peru	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	26.6		
ALL	All regions	PER	Peru	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	5.5		
ALL	All regions	PER	Peru	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	12.9		
EUR	Europe	ROU	Romania	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.6		
EUR	Europe	ROU	Romania	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	28		
EUR	Europe	ROU	Romania	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	7.7		
EUR	Europe	ROU	Romania	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	7.1		
EUR	Europe	ROU	Romania	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	22.1		
ALL	All regions	ROU	Romania	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	16.6		
ALL	All regions	ROU	Romania	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	28		
ALL	All regions	ROU	Romania	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	7.7		
ALL	All regions	ROU	Romania	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	7.1		
ALL	All regions	ROU	Romania	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	22.1		
EUR	Europe	RUS	Russia	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.3		
EUR	Europe	RUS	Russia	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	22.6		
EUR	Europe	RUS	Russia	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	19.1		
EUR	Europe	RUS	Russia	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	15.1		
EUR	Europe	RUS	Russia	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	31.5		
ALL	All regions	RUS	Russia	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.3		
ALL	All regions	RUS	Russia	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	22.6		
ALL	All regions	RUS	Russia	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	19.1		
ALL	All regions	RUS	Russia	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	15.1		
ALL	All regions	RUS	Russia	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	31.5		
ASI	Asia	WSM	Samoa	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	42.5		
ASI	Asia	WSM	Samoa	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	36.7		
ALL	All regions	WSM	Samoa	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	42.5		
ALL	All regions	WSM	Samoa	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	36.7		
AFR	Africa	ZAF	South Africa	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.4		
AFR	Africa	ZAF	South Africa	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	33.2		
AFR	Africa	ZAF	South Africa	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	15.1		
AFR	Africa	ZAF	South Africa	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	19.6		
AFR	Africa	ZAF	South Africa	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	21		
ALL	All regions	ZAF	South Africa	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.4		
ALL	All regions	ZAF	South Africa	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	33.2		
ALL	All regions	ZAF	South Africa	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	15.1		
ALL	All regions	ZAF	South Africa	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	19.6		
ALL	All regions	ZAF	South Africa	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	21		
ASI	Asia	THA	Thailand	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	35.5		
ASI	Asia	THA	Thailand	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	33.4		
ASI	Asia	THA	Thailand	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	22.7		
ASI	Asia	THA	Thailand	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	25.2		
ASI	Asia	THA	Thailand	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	56.8		
ALL	All regions	THA	Thailand	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	35.5		
ALL	All regions	THA	Thailand	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	33.4		
ALL	All regions	THA	Thailand	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	22.7		
ALL	All regions	THA	Thailand	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	25.2		
ALL	All regions	THA	Thailand	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	56.8		
ASI	Asia	TKM	Turkmenistan	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	29.8		
ALL	All regions	TKM	Turkmenistan	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	29.8		
AME	Americas	VEN	Venezuela	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	43.5		
AME	Americas	VEN	Venezuela	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	12.7		
AME	Americas	VEN	Venezuela	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	14.6		
ALL	All regions	VEN	Venezuela	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	43.5		
ALL	All regions	VEN	Venezuela	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	12.7		
ALL	All regions	VEN	Venezuela	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	14.6		
EUR	Europe	SRB	Serbia	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	19.8		
EUR	Europe	SRB	Serbia	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	32.9		
EUR	Europe	SRB	Serbia	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	6.7		
EUR	Europe	SRB	Serbia	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	19.8		
EUR	Europe	SRB	Serbia	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	18		
ALL	All regions	SRB	Serbia	UMI	Upper middle income	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	19.8		
ALL	All regions	SRB	Serbia	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	32.9		
ALL	All regions	SRB	Serbia	UMI	Upper middle income	RPI__2	Restricted physical integrity	2019	2019	6.7		
ALL	All regions	SRB	Serbia	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	19.8		
ALL	All regions	SRB	Serbia	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	18		
EUR	Europe	MNE	Montenegro	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	27.6		
EUR	Europe	MNE	Montenegro	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	28.7		
EUR	Europe	MNE	Montenegro	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	13.7		
ALL	All regions	MNE	Montenegro	UMI	Upper middle income	DF__2	Discrimination in the family	2019	2019	27.6		
ALL	All regions	MNE	Montenegro	UMI	Upper middle income	RAPFR__2	Restricted access to productive and financial resources	2019	2019	28.7		
ALL	All regions	MNE	Montenegro	UMI	Upper middle income	RCL__2	Restricted civil liberties	2019	2019	13.7		
AFR	Africa	AGO	Angola	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	47.2		
AFR	Africa	AGO	Angola	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	19		
ALL	All regions	AGO	Angola	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	47.2		
ALL	All regions	AGO	Angola	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	19		
ASI	Asia	BGD	Bangladesh	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	54.8		
ASI	Asia	BGD	Bangladesh	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	82.9		
ASI	Asia	BGD	Bangladesh	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	28.9		
ASI	Asia	BGD	Bangladesh	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	52.1		
ASI	Asia	BGD	Bangladesh	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	47.5		
ALL	All regions	BGD	Bangladesh	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	54.8		
ALL	All regions	BGD	Bangladesh	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	82.9		
ALL	All regions	BGD	Bangladesh	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	28.9		
ALL	All regions	BGD	Bangladesh	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	52.1		
ALL	All regions	BGD	Bangladesh	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	47.5		
ASI	Asia	BTN	Bhutan	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	40.5		
ASI	Asia	BTN	Bhutan	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	22.9		
ALL	All regions	BTN	Bhutan	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	40.5		
ALL	All regions	BTN	Bhutan	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	22.9		
AME	Americas	BOL	Bolivia	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	21.4		
AME	Americas	BOL	Bolivia	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	28.5		
AME	Americas	BOL	Bolivia	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	16.2		
AME	Americas	BOL	Bolivia	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	27.4		
AME	Americas	BOL	Bolivia	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	12.7		
ALL	All regions	BOL	Bolivia	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	21.4		
ALL	All regions	BOL	Bolivia	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	28.5		
ALL	All regions	BOL	Bolivia	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	16.2		
ALL	All regions	BOL	Bolivia	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	27.4		
ALL	All regions	BOL	Bolivia	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	12.7		
ASI	Asia	KHM	Cambodia	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	29.5		
ASI	Asia	KHM	Cambodia	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	34.2		
ASI	Asia	KHM	Cambodia	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	13.5		
ASI	Asia	KHM	Cambodia	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	27.6		
ASI	Asia	KHM	Cambodia	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	40.9		
ALL	All regions	KHM	Cambodia	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	29.5		
ALL	All regions	KHM	Cambodia	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	34.2		
ALL	All regions	KHM	Cambodia	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	13.5		
ALL	All regions	KHM	Cambodia	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	27.6		
ALL	All regions	KHM	Cambodia	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	40.9		
AFR	Africa	CMR	Cameroon	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	51.8		
AFR	Africa	CMR	Cameroon	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	51.1		
AFR	Africa	CMR	Cameroon	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	26.3		
AFR	Africa	CMR	Cameroon	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	77.7		
AFR	Africa	CMR	Cameroon	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	45.4		
ALL	All regions	CMR	Cameroon	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	51.8		
ALL	All regions	CMR	Cameroon	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	51.1		
ALL	All regions	CMR	Cameroon	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	26.3		
ALL	All regions	CMR	Cameroon	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	77.7		
ALL	All regions	CMR	Cameroon	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	45.4		
AFR	Africa	CPV	Cabo Verde	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	36.8		
AFR	Africa	CPV	Cabo Verde	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	9.9		
ALL	All regions	CPV	Cabo Verde	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	36.8		
ALL	All regions	CPV	Cabo Verde	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	9.9		
AFR	Africa	COG	Congo	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	42.8		
AFR	Africa	COG	Congo	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	58.3		
ALL	All regions	COG	Congo	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	42.8		
ALL	All regions	COG	Congo	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	58.3		
AFR	Africa	CIV	Côte d'Ivoire	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	42.8		
AFR	Africa	CIV	Côte d'Ivoire	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	29.7		
AFR	Africa	CIV	Côte d'Ivoire	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	35.6		
AFR	Africa	CIV	Côte d'Ivoire	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	76.1		
AFR	Africa	CIV	Côte d'Ivoire	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	20.4		
ALL	All regions	CIV	Côte d'Ivoire	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	42.8		
ALL	All regions	CIV	Côte d'Ivoire	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	29.7		
ALL	All regions	CIV	Côte d'Ivoire	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	35.6		
ALL	All regions	CIV	Côte d'Ivoire	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	76.1		
ALL	All regions	CIV	Côte d'Ivoire	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	20.4		
AFR	Africa	DJI	Djibouti	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	72.9		
ALL	All regions	DJI	Djibouti	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	72.9		
AFR	Africa	EGY	Egypt	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	78.6		
AFR	Africa	EGY	Egypt	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	64.6		
ALL	All regions	EGY	Egypt	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	78.6		
ALL	All regions	EGY	Egypt	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	64.6		
AME	Americas	SLV	El Salvador	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.9		
AME	Americas	SLV	El Salvador	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	26.1		
AME	Americas	SLV	El Salvador	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	27.4		
AME	Americas	SLV	El Salvador	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	20		
AME	Americas	SLV	El Salvador	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	17.8		
ALL	All regions	SLV	El Salvador	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.9		
ALL	All regions	SLV	El Salvador	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	26.1		
ALL	All regions	SLV	El Salvador	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	27.4		
ALL	All regions	SLV	El Salvador	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	20		
ALL	All regions	SLV	El Salvador	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	17.8		
ASI	Asia	GEO	Georgia	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	24.8		
ASI	Asia	GEO	Georgia	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	34		
ASI	Asia	GEO	Georgia	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	18.3		
ASI	Asia	GEO	Georgia	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	27.3		
ASI	Asia	GEO	Georgia	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	18.7		
ALL	All regions	GEO	Georgia	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	24.8		
ALL	All regions	GEO	Georgia	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	34		
ALL	All regions	GEO	Georgia	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	18.3		
ALL	All regions	GEO	Georgia	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	27.3		
ALL	All regions	GEO	Georgia	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	18.7		
AFR	Africa	GHA	Ghana	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	34.5		
AFR	Africa	GHA	Ghana	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	59.5		
AFR	Africa	GHA	Ghana	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	20.2		
AFR	Africa	GHA	Ghana	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	30.7		
AFR	Africa	GHA	Ghana	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	22.7		
ALL	All regions	GHA	Ghana	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	34.5		
ALL	All regions	GHA	Ghana	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	59.5		
ALL	All regions	GHA	Ghana	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	20.2		
ALL	All regions	GHA	Ghana	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	30.7		
ALL	All regions	GHA	Ghana	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	22.7		
AME	Americas	HND	Honduras	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.4		
AME	Americas	HND	Honduras	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	24.9		
AME	Americas	HND	Honduras	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	25		
AME	Americas	HND	Honduras	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	24.1		
AME	Americas	HND	Honduras	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	15.3		
ALL	All regions	HND	Honduras	LWI	Lower middle income 	SIGI_2	Social Institutions and Gender Index 2019	2019	2019	22.4		
ALL	All regions	HND	Honduras	LWI	Lower middle income 	DF__2	Discrimination in the family	2019	2019	24.9		
ALL	All regions	HND	Honduras	LWI	Lower middle income 	RPI__2	Restricted physical integrity	2019	2019	25		
ALL	All regions	HND	Honduras	LWI	Lower middle income 	RAPFR__2	Restricted access to productive and financial resources	2019	2019	24.1		
ALL	All regions	HND	Honduras	LWI	Lower middle income 	RCL__2	Restricted civil liberties	2019	2019	15.3		
