"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"ASI","Asia","MDV","Maldives","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",19.5,,
"ALL","All regions","MDV","Maldives","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MDV","Maldives","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",30.8,,
"ALL","All regions","MDV","Maldives","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",19.5,,
"AFR","Africa","MUS","Mauritius","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","MUS","Mauritius","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"AFR","Africa","NAM","Namibia","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"AFR","Africa","NAM","Namibia","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",28.2,,
"AFR","Africa","NAM","Namibia","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",25,,
"ALL","All regions","NAM","Namibia","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","NAM","Namibia","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",28.2,,
"ALL","All regions","NAM","Namibia","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",25,,
"AME","Americas","PRY","Paraguay","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"AME","Americas","PRY","Paraguay","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",22.9,,
"AME","Americas","PRY","Paraguay","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",17.9,,
"ALL","All regions","PRY","Paraguay","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","PRY","Paraguay","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",22.9,,
"ALL","All regions","PRY","Paraguay","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",17.9,,
"AME","Americas","PER","Peru","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AME","Americas","PER","Peru","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",32.2,,
"AME","Americas","PER","Peru","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",33.2,,
"ALL","All regions","PER","Peru","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","PER","Peru","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",32.2,,
"ALL","All regions","PER","Peru","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",33.2,,
"EUR","Europe","ROU","Romania","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","ROU","Romania","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",7.5,,
"EUR","Europe","ROU","Romania","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",24,,
"ALL","All regions","ROU","Romania","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","ROU","Romania","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",7.5,,
"ALL","All regions","ROU","Romania","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",24,,
"EUR","Europe","RUS","Russia","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",1,,
"EUR","Europe","RUS","Russia","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",23.3,,
"EUR","Europe","RUS","Russia","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",19.6,,
"ALL","All regions","RUS","Russia","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",1,,
"ALL","All regions","RUS","Russia","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",23.3,,
"ALL","All regions","RUS","Russia","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",19.6,,
"ASI","Asia","WSM","Samoa","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","WSM","Samoa","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",36.5,,
"ASI","Asia","WSM","Samoa","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",46.1,,
"ALL","All regions","WSM","Samoa","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","WSM","Samoa","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",36.5,,
"ALL","All regions","WSM","Samoa","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",46.1,,
"AFR","Africa","ZAF","South Africa","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"AFR","Africa","ZAF","South Africa","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",61.2,,
"AFR","Africa","ZAF","South Africa","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",20.6,,
"ALL","All regions","ZAF","South Africa","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","ZAF","South Africa","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",61.2,,
"ALL","All regions","ZAF","South Africa","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",20.6,,
"ASI","Asia","THA","Thailand","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","THA","Thailand","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",8.6,,
"ASI","Asia","THA","Thailand","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",44.2,,
"ALL","All regions","THA","Thailand","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","THA","Thailand","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",8.6,,
"ALL","All regions","THA","Thailand","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",44.2,,
"ASI","Asia","TKM","Turkmenistan","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","TKM","Turkmenistan","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",26.3,,
"ALL","All regions","TKM","Turkmenistan","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","TKM","Turkmenistan","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",26.3,,
"AME","Americas","VEN","Venezuela","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","VEN","Venezuela","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","SRB","Serbia","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","SRB","Serbia","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",3.8,,
"EUR","Europe","SRB","Serbia","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",23.7,,
"ALL","All regions","SRB","Serbia","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","SRB","Serbia","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",3.8,,
"ALL","All regions","SRB","Serbia","UMI","Upper middle income","RPI_VAW_PRACT","Practice","2019","2019",23.7,,
"EUR","Europe","MNE","Montenegro","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","MNE","Montenegro","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",2.7,,
"ALL","All regions","MNE","Montenegro","UMI","Upper middle income","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","MNE","Montenegro","UMI","Upper middle income","RPI_VAW_ATT","Attitudes","2019","2019",2.7,,
"AFR","Africa","AGO","Angola","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AFR","Africa","AGO","Angola","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",25.2,,
"AFR","Africa","AGO","Angola","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",34.8,,
"ALL","All regions","AGO","Angola","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","AGO","Angola","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",25.2,,
"ALL","All regions","AGO","Angola","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",34.8,,
"ASI","Asia","BGD","Bangladesh","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","BGD","Bangladesh","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",28.3,,
"ASI","Asia","BGD","Bangladesh","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",53.3,,
"ALL","All regions","BGD","Bangladesh","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","BGD","Bangladesh","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",28.3,,
"ALL","All regions","BGD","Bangladesh","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",53.3,,
"ASI","Asia","BTN","Bhutan","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ASI","Asia","BTN","Bhutan","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",68.4,,
"ASI","Asia","BTN","Bhutan","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",26.5,,
"ALL","All regions","BTN","Bhutan","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","BTN","Bhutan","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",68.4,,
"ALL","All regions","BTN","Bhutan","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",26.5,,
"AME","Americas","BOL","Bolivia","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"AME","Americas","BOL","Bolivia","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",16.1,,
"AME","Americas","BOL","Bolivia","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",64.1,,
"ALL","All regions","BOL","Bolivia","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","BOL","Bolivia","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",16.1,,
"ALL","All regions","BOL","Bolivia","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",64.1,,
"ASI","Asia","KHM","Cambodia","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ASI","Asia","KHM","Cambodia","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",50.4,,
"ASI","Asia","KHM","Cambodia","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",20.9,,
"ALL","All regions","KHM","Cambodia","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","KHM","Cambodia","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",50.4,,
"ALL","All regions","KHM","Cambodia","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",20.9,,
"AFR","Africa","CMR","Cameroon","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AFR","Africa","CMR","Cameroon","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",36.1,,
"AFR","Africa","CMR","Cameroon","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",51.1,,
"ALL","All regions","CMR","Cameroon","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","CMR","Cameroon","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",36.1,,
"ALL","All regions","CMR","Cameroon","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",51.1,,
"AFR","Africa","CPV","Cabo Verde","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"AFR","Africa","CPV","Cabo Verde","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",17.3,,
"AFR","Africa","CPV","Cabo Verde","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",12.6,,
"ALL","All regions","CPV","Cabo Verde","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","CPV","Cabo Verde","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",17.3,,
"ALL","All regions","CPV","Cabo Verde","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",12.6,,
"AFR","Africa","COG","Congo","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AFR","Africa","COG","Congo","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",54.2,,
"ALL","All regions","COG","Congo","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","COG","Congo","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",54.2,,
"AFR","Africa","CIV","Côte d'Ivoire","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AFR","Africa","CIV","Côte d'Ivoire","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",47.9,,
"AFR","Africa","CIV","Côte d'Ivoire","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",25.9,,
"ALL","All regions","CIV","Côte d'Ivoire","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","CIV","Côte d'Ivoire","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",47.9,,
"ALL","All regions","CIV","Côte d'Ivoire","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",25.9,,
"AFR","Africa","DJI","Djibouti","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","DJI","Djibouti","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"AFR","Africa","EGY","Egypt","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AFR","Africa","EGY","Egypt","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",35.7,,
"ALL","All regions","EGY","Egypt","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","EGY","Egypt","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",35.7,,
"AME","Americas","SLV","El Salvador","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"AME","Americas","SLV","El Salvador","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",7.7,,
"AME","Americas","SLV","El Salvador","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",26.3,,
"ALL","All regions","SLV","El Salvador","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","SLV","El Salvador","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",7.7,,
"ALL","All regions","SLV","El Salvador","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",26.3,,
"ASI","Asia","GEO","Georgia","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","GEO","Georgia","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",8.6,,
"ASI","Asia","GEO","Georgia","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",6.1,,
"ALL","All regions","GEO","Georgia","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","GEO","Georgia","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",8.6,,
"ALL","All regions","GEO","Georgia","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",6.1,,
"AFR","Africa","GHA","Ghana","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AFR","Africa","GHA","Ghana","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",28.3,,
"AFR","Africa","GHA","Ghana","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",24.4,,
"ALL","All regions","GHA","Ghana","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","GHA","Ghana","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",28.3,,
"ALL","All regions","GHA","Ghana","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",24.4,,
"AME","Americas","HND","Honduras","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"AME","Americas","HND","Honduras","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",12.4,,
"AME","Americas","HND","Honduras","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",21.6,,
"ALL","All regions","HND","Honduras","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","HND","Honduras","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",12.4,,
"ALL","All regions","HND","Honduras","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",21.6,,
"ASI","Asia","IND","India","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ASI","Asia","IND","India","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",22.1,,
"ASI","Asia","IND","India","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",28.7,,
"ALL","All regions","IND","India","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","IND","India","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",22.1,,
"ALL","All regions","IND","India","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",28.7,,
"ASI","Asia","IDN","Indonesia","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","IDN","Indonesia","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",34.5,,
"ASI","Asia","IDN","Indonesia","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",18.3,,
"ALL","All regions","IDN","Indonesia","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","IDN","Indonesia","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",34.5,,
"ALL","All regions","IDN","Indonesia","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",18.3,,
"AFR","Africa","KEN","Kenya","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"AFR","Africa","KEN","Kenya","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",41.8,,
"AFR","Africa","KEN","Kenya","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",39.4,,
"ALL","All regions","KEN","Kenya","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ALL","All regions","KEN","Kenya","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",41.8,,
"ALL","All regions","KEN","Kenya","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",39.4,,
"ASI","Asia","KGZ","Kyrgyzstan","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","KGZ","Kyrgyzstan","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",32.8,,
"ASI","Asia","KGZ","Kyrgyzstan","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",25.4,,
"ALL","All regions","KGZ","Kyrgyzstan","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","KGZ","Kyrgyzstan","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",32.8,,
"ALL","All regions","KGZ","Kyrgyzstan","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",25.4,,
"ASI","Asia","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ASI","Asia","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",58.2,,
"ASI","Asia","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",15.3,,
"ALL","All regions","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",58.2,,
"ALL","All regions","LAO","Lao People's Democratic Republic","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",15.3,,
"AFR","Africa","LSO","Lesotho","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AFR","Africa","LSO","Lesotho","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",37.1,,
"AFR","Africa","LSO","Lesotho","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",62,,
"ALL","All regions","LSO","Lesotho","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","LSO","Lesotho","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",37.1,,
"ALL","All regions","LSO","Lesotho","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",62,,
"AFR","Africa","MRT","Mauritania","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AFR","Africa","MRT","Mauritania","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",26.6,,
"ALL","All regions","MRT","Mauritania","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MRT","Mauritania","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",26.6,,
"EUR","Europe","MDA","Moldova","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"EUR","Europe","MDA","Moldova","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",11.2,,
"EUR","Europe","MDA","Moldova","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",45.5,,
"ALL","All regions","MDA","Moldova","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","MDA","Moldova","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",11.2,,
"ALL","All regions","MDA","Moldova","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",45.5,,
"ASI","Asia","MNG","Mongolia","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ASI","Asia","MNG","Mongolia","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",10.1,,
"ASI","Asia","MNG","Mongolia","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",31.2,,
"ALL","All regions","MNG","Mongolia","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","MNG","Mongolia","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",10.1,,
"ALL","All regions","MNG","Mongolia","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",31.2,,
"AFR","Africa","MAR","Morocco","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AFR","Africa","MAR","Morocco","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",22,,
"AFR","Africa","MAR","Morocco","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",30,,
"ALL","All regions","MAR","Morocco","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MAR","Morocco","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",22,,
"ALL","All regions","MAR","Morocco","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",30,,
"ASI","Asia","MMR","Myanmar","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","MMR","Myanmar","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",51.2,,
"ASI","Asia","MMR","Myanmar","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",33,,
"ALL","All regions","MMR","Myanmar","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MMR","Myanmar","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",51.2,,
"ALL","All regions","MMR","Myanmar","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",33,,
"AME","Americas","NIC","Nicaragua","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"AME","Americas","NIC","Nicaragua","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",13.7,,
"AME","Americas","NIC","Nicaragua","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",22.5,,
"ALL","All regions","NIC","Nicaragua","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.25,,
"ALL","All regions","NIC","Nicaragua","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",13.7,,
"ALL","All regions","NIC","Nicaragua","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",22.5,,
"AFR","Africa","NGA","Nigeria","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"AFR","Africa","NGA","Nigeria","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",34.7,,
"AFR","Africa","NGA","Nigeria","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",16.2,,
"ALL","All regions","NGA","Nigeria","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","NGA","Nigeria","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",34.7,,
"ALL","All regions","NGA","Nigeria","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",16.2,,
"ASI","Asia","PSE","Palestinian Authority or West Bank and Gaza Strip","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ASI","Asia","PSE","Palestinian Authority or West Bank and Gaza Strip","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",38.7,,
"ALL","All regions","PSE","Palestinian Authority or West Bank and Gaza Strip","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.75,,
"ALL","All regions","PSE","Palestinian Authority or West Bank and Gaza Strip","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",38.7,,
"ASI","Asia","PAK","Pakistan","LWI","Lower middle income ","RPI_VAW_LAW","Law","2019","2019",0.5,,
"ASI","Asia","PAK","Pakistan","LWI","Lower middle income ","RPI_VAW_ATT","Attitudes","2019","2019",42.2,,
"ASI","Asia","PAK","Pakistan","LWI","Lower middle income ","RPI_VAW_PRACT","Practice","2019","2019",85,,
